date,SC actual,SC noPolicy,SC drug new five,SC drug new fifteen,SC drug new twentyFive,SC drug new fifty,SC property new five,SC property new fifteen,SC property new twentyFive,SC property new fifty,SC violent new five,SC violent new fifteen,SC violent new twentyFive,SC violent new fifty,SC nonviolent new five,SC nonviolent new fifteen,SC nonviolent new twentyFive,SC nonviolent new fifty,SC all new five,SC all new fifteen,SC all new twentyFive,SC all new fifty,SC revocation new five,SC revocation new fifteen,SC revocation new twentyFive,SC revocation new fifty,SC drug length five,SC drug length fifteen,SC drug length twentyFive,SC drug length fifty,SC property length five,SC property length fifteen,SC property length twentyFive,SC property length fifty,SC violent length five,SC violent length fifteen,SC violent length twentyFive,SC violent length fifty,SC nonviolent length five,SC nonviolent length fifteen,SC nonviolent length twentyFive,SC nonviolent length fifty,SC all length five,SC all length fifteen,SC all length twentyFive,SC all length fifty,SC revocation length five,SC revocation length fifteen,SC revocation length twentyFive,SC revocation length fifty
Jun-00,21531.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,21209.9989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,22667.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,22152.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,23879.9989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,23377.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,23898.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,23436.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,23670.9993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,23171.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,23440.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,22954.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,23935.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,23433.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,25126.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,24096.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,24932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,24186.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,24826.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,24139.9993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,23719.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,23450.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,22499.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,22749.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,22225.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,22225.9997,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226,22226
Jun-13,,21979,21977,21972,21966,21953,21974,21963,21952,21925,21976,21970,21963,21947,21969,21947,21925,21871,21965,21937,21909,21839,21977,21971,21965,21951,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019,21979.4019
Dec-13,,21726,21719,21704,21690,21654,21712,21683,21655,21585,21716,21698,21679,21633,21699,21644,21590,21455,21689,21617,21544,21362,21718,21704,21689,21653,21722.88186,21717.15848,21711.37062,21696.61157,21720.07898,21708.70275,21697.19834,21667.86209,21722.35497,21715.56897,21708.70651,21691.20723,21714.48257,21691.81946,21668.90098,21610.45887,21711.11784,21681.66873,21651.88779,21575.9464,21722.68875,21716.57592,21710.39421,21694.63086
