date,OK actual,OK noPolicy,OK drug new five,OK drug new fifteen,OK drug new twentyFive,OK drug new fifty,OK property new five,OK property new fifteen,OK property new twentyFive,OK property new fifty,OK violent new five,OK violent new fifteen,OK violent new twentyFive,OK violent new fifty,OK nonviolent new five,OK nonviolent new fifteen,OK nonviolent new twentyFive,OK nonviolent new fifty,OK all new five,OK all new fifteen,OK all new twentyFive,OK all new fifty,OK revocation new five,OK revocation new fifteen,OK revocation new twentyFive,OK revocation new fifty,OK drug length five,OK drug length fifteen,OK drug length twentyFive,OK drug length fifty,OK property length five,OK property length fifteen,OK property length twentyFive,OK property length fifty,OK violent length five,OK violent length fifteen,OK violent length twentyFive,OK violent length fifty,OK nonviolent length five,OK nonviolent length fifteen,OK nonviolent length twentyFive,OK nonviolent length fifty,OK all length five,OK all length fifteen,OK all length twentyFive,OK all length fifty,OK revocation length five,OK revocation length fifteen,OK revocation length twentyFive,OK revocation length fifty
Jun-00,22325.99984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,23206.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,24594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,24466.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,24036.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,24653.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,23490.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,22918.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,24086.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,23670.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,24493.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,24105.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,25139.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,24815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,25326.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,25131.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,25322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,25312.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,25958.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,25540.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,25408.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,25494.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,25746.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,25298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,26119.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,26119.0003,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119,26119
