date,CO actual,CO noPolicy,CO drug new five,CO drug new fifteen,CO drug new twentyFive,CO drug new fifty,CO property new five,CO property new fifteen,CO property new twentyFive,CO property new fifty,CO violent new five,CO violent new fifteen,CO violent new twentyFive,CO violent new fifty,CO nonviolent new five,CO nonviolent new fifteen,CO nonviolent new twentyFive,CO nonviolent new fifty,CO all new five,CO all new fifteen,CO all new twentyFive,CO all new fifty,CO revocation new five,CO revocation new fifteen,CO revocation new twentyFive,CO revocation new fifty,CO drug length five,CO drug length fifteen,CO drug length twentyFive,CO drug length fifty,CO property length five,CO property length fifteen,CO property length twentyFive,CO property length fifty,CO violent length five,CO violent length fifteen,CO violent length twentyFive,CO violent length fifty,CO nonviolent length five,CO nonviolent length fifteen,CO nonviolent length twentyFive,CO nonviolent length fifty,CO all length five,CO all length fifteen,CO all length twentyFive,CO all length fifty,CO revocation length five,CO revocation length fifteen,CO revocation length twentyFive,CO revocation length fifty
Jun-00,16222.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,16755.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,18230.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,17379.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,19031.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,18739.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,19701.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,19630.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,20837.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,20262.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,22112.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,21442.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,22595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,22458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,23070.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,22841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,23253.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,23214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,22967.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,22763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,22696.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,22755.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,20716.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,21919.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,19545.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,19545.9995,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546,19546
Jun-13,,19101,19099,19094,19089,19077,19097,19089,19081,19061,19097,19090,19082,19063,19092,19073,19055,19008,19088,19062,19036,18970,19095,19083,19070,19039,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799,19101.27799
Dec-13,,18646,18640,18628,18616,18587,18636,18616,18595,18544,18635,18614,18593,18539,18623,18576,18529,18412,18612,18544,18475,18305,18631,18600,18570,18494,18643.2517,18637.71726,18632.12046,18617.84863,18641.63139,18632.82911,18623.92764,18601.22891,18641.94046,18633.7615,18625.49039,18604.39905,18635.71599,18614.98348,18594.01737,18540.55378,18631.66059,18602.74913,18573.5119,18498.95697,18639.58311,18626.64983,18613.57082,18580.21936
Jun-14,,18195,18185,18165,18145,18096,18177,18143,18108,18021,18175,18135,18095,17995,18155,18076,17996,17798,18135,18016,17896,17598,18170,18119,18068,17941,18188.1058,18174.45227,18160.5809,18124.90991,18183.81744,18161.48076,18138.78099,18080.3761,18183.37165,18160.10381,18136.41817,18075.29258,18169.16113,18117.16463,18064.33178,17928.43763,18157.68011,18082.41578,18005.89728,17808.87755,18179.15401,18147.39469,18115.14212,18032.26544
Dec-14,,17753,17739,17711,17683,17613,17728,17677,17627,17501,17721,17659,17596,17439,17696,17582,17469,17185,17665,17488,17312,16872,17717,17646,17574,17396,17741.628,17718.91279,17695.77036,17635.95049,17733.96976,17695.70194,17656.68259,17555.6716,17731.10187,17686.87631,17641.58911,17523.42987,17709.48459,17621.56604,17531.96419,17300.21483,17687.75681,17555.6127,17420.72367,17070.81506,17726.75655,17673.9219,17620.14585,17481.39158
Jun-15,,17321,17303,17267,17231,17141,17288,17221,17155,16989,17277,17188,17099,16878,17247,17099,16952,16583,17203,16967,16730,16140,17275,17183,17091,16861,17305.25909,17273.42243,17240.93855,17156.74181,17293.76273,17238.52732,17182.08426,17035.37489,17286.59821,17216.42143,17144.17338,16953.75792,17259.29993,17134.10764,17006.29264,16674.62596,17224.95649,17029.58743,16829.52438,16307.44223,17284.26004,17209.87077,17134.0769,16938.14185
Dec-15,,16899,16877,16834,16790,16681,16858,16776,16693,16488,16840,16723,16606,16313,16808,16628,16447,15995,16750,16452,16154,15410,16843,16731,16619,16338,16878.86384,16838.30749,16796.90435,16689.48822,16863.22776,16790.79604,16716.682,16523.564,16849.88876,16749.52361,16645.69044,16369.45895,16819.12779,16657.14256,16491.61758,16061.40454,16770.18299,16507.8326,16238.47446,15532.02993,16851.69627,16756.07719,16658.61774,16406.52017
Jun-16,,16486,16461,16410,16360,16234,16437,16340,16242,15998,16412,16264,16116,15747,16380,16168,15955,15425,16306,15946,15586,14686,16420,16289,16157,15829,16461.9123,16413.27004,16363.62019,16234.86181,16441.9556,16352.58536,16261.07672,16022.33762,16420.66715,16286.54717,16147.17477,15773.1691,16388.80199,16191.5025,15989.84219,15465.5047,16323.60337,15992.1839,15651.15119,14752.80803,16428.58829,16312.39917,16193.97462,15887.66268
Dec-16,,16082,16053,15996,15940,15798,16025,15913,15801,15520,15991,15811,15631,15181,15961,15719,15477,14872,15871,15449,15027,13972,16006,15856,15706,15331,16053.92361,15997.93633,15940.82802,15792.93834,16029.55232,15923.79387,15815.48532,15532.84425,15998.69786,15827.86424,15649.6234,15167.47067,15968.03886,15737.42778,15501.7721,14889.36052,15885.22987,15483.78517,15069.88865,13975.32434,16014.46392,15878.48347,15739.91315,15381.62764
Jun-17,,15685,15654,15592,15529,15373,15622,15496,15369,15053,15579,15365,15151,14617,15551,15281,15012,14338,15444,14961,14478,13270,15601,15433,15265,14845,15654.58851,15592.03562,15528.29757,15363.59707,15625.77009,15504.34455,15380.01746,15055.74549,15583.91963,15373.97236,15154.12587,14555.05377,15556.62954,15294.96006,15027.71787,14334.05072,15455.12026,14983.5035,14496.41482,13203.67557,15609.00846,15454.03898,15296.16186,14888.17146
Dec-17,,15297,15264,15196,15129,14961,15227,15087,14947,14597,15173,14925,14677,14057,15150,14855,14560,13822,15026,14482,13939,12581,15205,15020,14834,14371,15263.76566,15195.42745,15125.88672,14946.67584,15230.50989,15094.23054,14954.76602,14591.42316,15176.43222,14925.48945,14661.8656,13938.73415,15154.47561,14864.0908,14567.76293,13799.8953,15033.41836,14492.09077,13932.13905,12441.13997,15212.07257,15038.89947,14862.53309,14407.03189
Jun-18,,14918,14882,14810,14739,14559,14841,14689,14536,14154,14776,14493,14209,13501,14758,14439,14121,13324,14617,14014,13412,11907,14817,14615,14413,13908,14881.4385,14808.07553,14733.53456,14542.02193,14843.78334,14693.50419,14539.8252,14140.07778,14776.44813,14483.10952,14174.07752,13321.41265,14761.5688,14444.80632,14121.87936,13286.77382,14620.33666,14010.23556,13378.27661,11690.5062,14823.63273,14633.00797,14438.93228,13938.00132
Dec-18,,14546,14508,14433,14358,14169,14464,14299,14134,13722,14387,14068,13749,12951,14376,14035,13695,12843,14216,13557,12897,11249,14437,14219,14001,13457,14507.66771,14430.01008,14351.23481,14149.50203,14465.66905,14302.2514,14135.28474,13701.7829,14384.24216,14047.55355,13691.99767,12706.01352,14377.95732,14037.09359,13689.97753,12794.30958,14216.12418,13538.57183,12835.8999,10954.2478,14443.74448,14236.38043,14025.33209,13480.92617
Jun-19,,14183,14144,14065,13987,13791,14095,13919,13743,13302,14005,13651,13296,12409,14003,13642,13282,12381,13825,13110,12395,10608,14066,13833,13600,13017,14142.55149,14061.29376,13979.00842,13768.99736,14096.27589,13920.56713,13741.21942,13276.52066,14000.10998,13619.52786,13216.8184,12095.41757,14003.71479,13640.93385,13271.92782,12321.98413,13821.03626,13077.6732,12305.95771,10234.61319,14072.5025,13849.07058,13621.74193,13035.68801
Dec-19,,13828,13788,13707,13626,13424,13735,13548,13361,12895,13633,13242,12852,11876,13639,13260,12882,11936,13444,12675,11906,9984,13704,13456,13208,12588,13786.19615,13701.99558,13616.88134,13400.39482,13735.71589,13548.53667,13357.68014,12864.20716,13624.33776,13199.69279,12749.65288,11492.39691,13638.91643,13256.29441,12867.57069,11869.21027,13435.31124,12628.04425,11789.28063,9533.664233,13710.01086,13471.14242,13228.18269,12602.18472
Jun-20,,13482,13440,13358,13275,13068,13383,13187,12990,12499,13269,12843,12417,11352,13284,12890,12495,11508,13071,12251,11430,9379,13351,13088,12826,12171,13438.69609,13352.1728,13264.86863,13043.57803,13384.08586,13186.22292,12984.68795,12464.71084,13257.18165,12788.64113,12291.50927,10899.5543,13283.62256,12883.12206,12476.72162,11435.37672,13059.15432,12190.1133,11286.581,8853.281129,13356.36271,13102.65099,12844.6687,12180.31589
Dec-20,,13144,13102,13018,12934,12723,13041,12835,12629,12115,12913,12452,11991,10839,12939,12530,12121,11097,12709,11838,10968,8792,13006,12730,12454,11765,13100.12121,13011.85939,12922.96408,12698.41996,13041.45594,12833.6587,12622.2309,12077.86504,12898.85507,12386.8846,11843.27314,10319.26876,12937.86825,12521.33871,12099.1737,11019.87299,12692.72761,11764.2276,10798.45113,8195.146041,13011.62736,12743.62997,12471.19578,11769.97229
Jun-21,,12815,12773,12687,12602,12390,12708,12493,12279,11743,12567,12071,11576,10336,12604,12181,11759,10703,12356,11438,10519,8224,12670,12381,12092,11369,12770.50977,12681.05948,12591.1342,12364.77759,12707.86329,12490.84294,12270.26299,11703.4761,12549.52184,11994.84663,11405.69712,9753.648618,12601.65753,12170.83917,11734.69929,10622.10123,12336.14489,11350.65132,10325.36193,7560.715359,12675.84305,12394.08452,12107.73422,11371.02879
Dec-21,,12495,12452,12367,12281,12067,12384,12161,11939,11382,12230,11700,11170,9845,12278,11844,11409,10324,12013,11049,10085,7675,12344,12042,11740,10985,12449.86522,12359.74447,12269.31551,12042.4887,12383.30943,12157.73946,11928.70466,11341.32827,12209.29345,11612.8599,10979.3962,9204.492989,12274.96101,11831.49065,11383.05133,10241.48009,11989.46983,10949.56591,9867.662892,6951.188445,12349.01347,12053.98785,11754.22525,10983.34022
