date,MO actual,MO noPolicy,MO drug new five,MO drug new fifteen,MO drug new twentyFive,MO drug new fifty,MO property new five,MO property new fifteen,MO property new twentyFive,MO property new fifty,MO violent new five,MO violent new fifteen,MO violent new twentyFive,MO violent new fifty,MO nonviolent new five,MO nonviolent new fifteen,MO nonviolent new twentyFive,MO nonviolent new fifty,MO all new five,MO all new fifteen,MO all new twentyFive,MO all new fifty,MO revocation new five,MO revocation new fifteen,MO revocation new twentyFive,MO revocation new fifty,MO drug length five,MO drug length fifteen,MO drug length twentyFive,MO drug length fifty,MO property length five,MO property length fifteen,MO property length twentyFive,MO property length fifty,MO violent length five,MO violent length fifteen,MO violent length twentyFive,MO violent length fifty,MO nonviolent length five,MO nonviolent length fifteen,MO nonviolent length twentyFive,MO nonviolent length fifty,MO all length five,MO all length fifteen,MO all length twentyFive,MO all length fifty,MO revocation length five,MO revocation length fifteen,MO revocation length twentyFive,MO revocation length fifty
Jun-05,31184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,31462.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,30994.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,31124.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,31081.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,30933.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,30680.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,30737.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,30525.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,30755.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,30809.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,30723.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,31033.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,30860.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,31204.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,31204.996,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205,31205
Jun-13,,31351,31343,31327,31311,31272,31342,31324,31306,31261,31345,31334,31323,31296,31330,31288,31246,31141,31324,31272,31219,31087,31333,31297,31261,31171,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851,31350.5851
Dec-13,,31479,31459,31420,31381,31283,31456,31410,31365,31250,31464,31433,31403,31326,31426,31320,31215,30951,31411,31275,31138,30797,31433,31342,31250,31021,31471.15569,31455.2547,31439.17454,31398.17014,31470.17075,31452.28333,31434.19435,31388.06748,31473.65172,31462.78475,31451.79534,31423.77233,31458.29957,31416.47028,31374.16967,31266.30311,31452.91136,31400.2151,31346.92508,31211.03552,31461.30244,31425.52937,31389.35321,31297.10402
Jun-14,,31596,31563,31496,31429,31263,31556,31477,31398,31200,31567,31509,31452,31307,31505,31323,31142,30687,31476,31237,30997,30399,31517,31358,31200,30804,31576.14794,31536.45484,31496.13463,31392.47762,31573.13518,31527.33035,31480.78047,31361.00853,31580.48508,31549.51644,31517.98764,31436.6023,31543.26044,31436.99721,31329.02246,31051.28435,31527.98109,31390.74921,31251.24566,30892.12221,31550.49308,31458.85919,31365.73729,31126.14799
Dec-14,,31703,31655,31560,31464,31225,31645,31529,31413,31123,31658,31567,31476,31250,31571,31306,31042,30380,31526,31170,30815,29926,31587,31355,31123,30543,31670.05005,31602.61761,31533.93302,31356.47073,31664.10767,31584.56182,31503.44814,31293.4401,31674.35302,31615.4006,31555.01295,31397.3593,31612.9747,31429.72338,31242.93221,30759.66181,31584.01878,31341.81504,31094.63622,30453.71218,31624.80191,31465.4993,31303.05831,30882.49469
Jun-15,,31803,31740,31614,31488,31173,31725,31570,31415,31027,31739,31610,31481,31159,31627,31275,30923,30043,31563,31082,30601,29399,31648,31337,31026,30250,31755.15959,31657.96055,31558.7959,31301.81991,31745.55073,31628.68991,31509.24621,31198.65491,31757.20984,31663.51554,31566.99948,31312.34892,31671.35635,31403.80963,31130.52459,30420.7444,31625.52343,31264.28241,30894.48131,29930.05056,31687.75241,31453.39659,31213.84373,30590.83762
Dec-15,,31896,31817,31660,31504,31111,31798,31602,31406,30915,31810,31639,31468,31040,31675,31232,30790,29683,31589,30975,30362,28828,31700,31307,30915,29933,31832.80442,31704.73612,31573.9526,31234.45308,31818.92698,31662.38007,31502.1071,31084.06232,31830.41977,31696.16361,31557.14552,31186.69878,31720.60538,31364.1948,30999.62819,30050.31914,31655.17526,31164.50852,30660.92382,29341.16803,31741.39345,31427.0129,31105.08404,30265.03296
Jun-16,,31982,31888,31700,31512,31041,31863,31625,31387,30791,31874,31657,31440,30899,31715,31179,30644,29306,31606,30854,30102,28222,31744,31267,30790,29597,31903.87625,31744.27651,31581.19918,31157.43965,31885.22432,31687.2629,31484.34169,30953.85815,31895.06014,31715.20966,31528.08233,31024.73859,31762.08716,31313.67437,30854.55223,29656.89085,31674.73717,31046.4739,30400.22442,28699.21931,31787.0568,31389.03612,30980.89614,29913.11657
Dec-16,,32063,31953,31733,31513,30963,31922,31641,31359,30655,31931,31665,31400,30736,31748,31118,30488,28913,31616,30720,29825,27586,31781,31217,30653,29244,31969.06088,31777.47483,31581.64336,31072.45488,31945.1921,31704.42992,31457.40197,30810.48397,31952.04775,31722.2365,31482.05135,30830.20062,31796.74566,31253.93806,30697.77064,29245.07801,31685.4851,30912.86625,30116.51369,28011.97033,31825.70675,31341.22125,30843.87034,29539.98023
Jun-17,,32139,32013,31761,31509,30879,31976,31650,31323,30508,31981,31665,31348,30557,31776,31049,30323,28506,31618,30575,29532,26924,31813,31160,30507,28875,32028.93609,31805.00506,31576.05529,30980.50419,31999.44776,31714.6786,31422.27218,30655.41947,32002.1925,31718.62211,31421.00042,30606.34266,31825.29907,31186.09045,30530.78734,28817.43622,31688.41726,30765.63826,29812.71345,27284.70458,31858.10302,31284.80765,30695.7539,29148.77975
Dec-17,,32210,32068,31784,31499,30788,32024,31653,31281,30351,32026,31656,31287,30364,31798,30973,30148,28086,31613,30419,29225,26239,31839,31095,30352,28494,32084.0132,31827.42213,31565.03118,30882.2712,32048.52576,31718.63531,31379.67093,30489.61011,32046.2218,31705.58318,31346.6436,30356.03606,31848.33395,31110.91447,30354.58179,28375.42549,31684.35879,30606.30069,29491.02842,26521.26459,31884.87867,31220.72999,30537.8022,28741.67079
Jun-18,,32277,32119,31802,31485,30692,32068,31650,31231,30186,32065,31641,31217,30158,31815,30890,29965,27654,31603,30254,28906,25534,31859,31024,30188,28100,32134.75504,31845.20785,31549.0692,30778.27997,32092.90103,31716.81833,31330.15712,30313.69689,32084.79362,31684.20346,31260.50328,30081.83597,31866.35181,31029.00659,30169.84001,27919.9185,31674.01665,30436.08127,29153.21451,25724.62569,31906.57913,31149.72851,30370.96361,28320.19571
Dec-18,,32340,32165,31815,31466,30591,32107,31642,31176,30011,32100,31621,31141,29941,31827,30801,29775,27210,31587,30081,28575,24811,31876,30946,30017,27694,32181.58439,31858.7925,31528.60503,30668.96853,32133.00127,31709.67151,31274.1866,30128.13987,32118.50504,31655.45458,31163.9425,29786.04063,31879.79332,30940.84763,29977.07565,27451.46584,31658.01029,30256.01414,28800.73007,24897.2184,31923.6834,31072.40959,30195.98107,27885.49247
Jun-19,,32400,32209,31826,31443,30485,32143,31628,31114,29828,32132,31595,31058,29716,31835,30706,29577,26754,31567,29901,28235,24070,31888,30863,29838,27277,32224.88882,31868.56589,31504.02913,30554.72158,32169.21416,31697.58312,31212.14354,29933.28495,32147.89913,31620.21264,31058.19083,29470.7424,31889.05192,30846.8411,29776.69454,26970.4343,31636.89027,30066.99296,28434.82459,24041.11592,31936.61689,30989.2813,30013.45108,27438.41369
Dec-19,,32457,32249,31832,31416,30375,32175,31611,31047,29637,32160,31565,30971,29484,31840,30606,29372,26288,31543,29714,27886,23315,31896,30775,29653,26849,32265.02415,31874.88358,31475.69577,30435.88533,32201.89247,31680.89728,31144.35857,29729.40056,32173.47083,31579.27176,30944.36564,29137.87172,31894.48216,30747.33473,29569.03013,26477.0792,31611.15057,29869.80407,28056.59334,23158.1485,31945.76009,30900.77594,29823.86065,26979.60016
Jun-20,,32511,32286,31836,31385,30260,32203,31589,30974,29437,32184,31532,30879,29247,31841,30501,29160,25810,31514,29521,27528,22546,31901,30681,29461,26411,32302.31733,31878.07118,31443.92841,30312.77472,32231.35798,31659.92146,31071.11993,29516.69847,32195.67229,31533.35547,30823.48943,28789.23469,31896.40545,30642.63335,29354.36358,25971.58282,31581.23736,29665.14845,27667.01264,22249.97712,31951.45512,30807.26546,29627.61191,26509.53022
Dec-20,,32562,32320,31836,31352,30142,32229,31563,30896,29230,32207,31495,30783,29004,31838,30390,28942,25322,31483,29323,27163,21764,31903,30583,29263,25964,32337.06918,31878.42761,31409.02352,30185.67763,32257.90482,31634.93177,30992.68086,29295.34603,32214.91761,31483.12616,30696.50418,28426.54496,31895.11431,30533.00707,29132.93582,25454.0751,31547.55576,29453.65708,27266.96384,21318.14389,31954.0109,30709.07257,29425.03971,26028.55571
Jun-21,,32612,32353,31834,31316,30020,32252,31533,30814,29016,32227,31456,30686,28759,31833,30275,28717,24823,31448,29119,26791,20970,31901,30480,29059,25507,32369.55681,31876.22785,31371.25348,30054.85788,32281.80234,31606.17707,30909.2647,29065.47383,32231.58707,31429.19307,30564.28301,28051.45058,31890.87586,30418.69683,28904.95505,24924.64538,31510.47512,29235.9021,26857.25025,20364.10816,31953.70738,30606.47918,29216.42458,25536.92913
Dec-21,,32660,32383,31830,31277,29895,32273,31500,30727,28794,32245,31415,30586,28512,31825,30156,28486,24313,31410,28911,26412,20165,31898,30374,28850,25040,32400.036,31871.7254,31330.86913,29920.55764,32303.29774,31573.88215,30821.06882,28827.18074,32246.03086,31372.11887,30427.63962,27665.55643,31883.93461,30299.91846,28670.60192,24383.34921,31470.33342,29012.40528,26438.60949,19389.27358,31950.79924,30499.73303,29002.00268,25034.82483
