date,MO actual,MO noPolicy,MO drug new five,MO drug new fifteen,MO drug new twentyFive,MO drug new fifty,MO property new five,MO property new fifteen,MO property new twentyFive,MO property new fifty,MO violent new five,MO violent new fifteen,MO violent new twentyFive,MO violent new fifty,MO nonviolent new five,MO nonviolent new fifteen,MO nonviolent new twentyFive,MO nonviolent new fifty,MO all new five,MO all new fifteen,MO all new twentyFive,MO all new fifty,MO revocation new five,MO revocation new fifteen,MO revocation new twentyFive,MO revocation new fifty,MO drug length five,MO drug length fifteen,MO drug length twentyFive,MO drug length fifty,MO property length five,MO property length fifteen,MO property length twentyFive,MO property length fifty,MO violent length five,MO violent length fifteen,MO violent length twentyFive,MO violent length fifty,MO nonviolent length five,MO nonviolent length fifteen,MO nonviolent length twentyFive,MO nonviolent length fifty,MO all length five,MO all length fifteen,MO all length twentyFive,MO all length fifty,MO revocation length five,MO revocation length fifteen,MO revocation length twentyFive,MO revocation length fifty
Jun-00,25824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,26367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,29853.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,28686.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,30371.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,29942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,30254.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,30089.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,31132.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,30864.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
