date,KY actual,KY noPolicy,KY drug new five,KY drug new fifteen,KY drug new twentyFive,KY drug new fifty,KY property new five,KY property new fifteen,KY property new twentyFive,KY property new fifty,KY violent new five,KY violent new fifteen,KY violent new twentyFive,KY violent new fifty,KY nonviolent new five,KY nonviolent new fifteen,KY nonviolent new twentyFive,KY nonviolent new fifty,KY all new five,KY all new fifteen,KY all new twentyFive,KY all new fifty,KY revocation new five,KY revocation new fifteen,KY revocation new twentyFive,KY revocation new fifty,KY drug length five,KY drug length fifteen,KY drug length twentyFive,KY drug length fifty,KY property length five,KY property length fifteen,KY property length twentyFive,KY property length fifty,KY violent length five,KY violent length fifteen,KY violent length twentyFive,KY violent length fifty,KY nonviolent length five,KY nonviolent length fifteen,KY nonviolent length twentyFive,KY nonviolent length fifty,KY all length five,KY all length fifteen,KY all length twentyFive,KY all length fifty,KY revocation length five,KY revocation length fifteen,KY revocation length twentyFive,KY revocation length fifty
Jun-00,15550.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,15484.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,16801.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,16014.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,16704.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,16329.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,18019.9981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,16822.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,19216.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,18468.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,20209.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,19460.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,21371.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,20227.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,22119.9982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,22490.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,22059.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,21896.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,21304.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,21960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,21975.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
