date,NJ actual,NJ noPolicy,NJ drug new five,NJ drug new fifteen,NJ drug new twentyFive,NJ drug new fifty,NJ property new five,NJ property new fifteen,NJ property new twentyFive,NJ property new fifty,NJ violent new five,NJ violent new fifteen,NJ violent new twentyFive,NJ violent new fifty,NJ nonviolent new five,NJ nonviolent new fifteen,NJ nonviolent new twentyFive,NJ nonviolent new fifty,NJ all new five,NJ all new fifteen,NJ all new twentyFive,NJ all new fifty,NJ revocation new five,NJ revocation new fifteen,NJ revocation new twentyFive,NJ revocation new fifty,NJ drug length five,NJ drug length fifteen,NJ drug length twentyFive,NJ drug length fifty,NJ property length five,NJ property length fifteen,NJ property length twentyFive,NJ property length fifty,NJ violent length five,NJ violent length fifteen,NJ violent length twentyFive,NJ violent length fifty,NJ nonviolent length five,NJ nonviolent length fifteen,NJ nonviolent length twentyFive,NJ nonviolent length fifty,NJ all length five,NJ all length fifteen,NJ all length twentyFive,NJ all length fifty,NJ revocation length five,NJ revocation length fifteen,NJ revocation length twentyFive,NJ revocation length fifty
Jun-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jun,28759.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Dec,28524.9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jun,28734.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec,28191.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jun,29099.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Dec,28851.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jun,28754.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Dec,28410.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun,27678.9957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec,27885.9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun,27016.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Dec,26871.9957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jun,26411.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Dec,26327.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun,25265.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec,25949.9987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
