date,MN actual,MN noPolicy,MN drug new five,MN drug new fifteen,MN drug new twentyFive,MN drug new fifty,MN property new five,MN property new fifteen,MN property new twentyFive,MN property new fifty,MN violent new five,MN violent new fifteen,MN violent new twentyFive,MN violent new fifty,MN nonviolent new five,MN nonviolent new fifteen,MN nonviolent new twentyFive,MN nonviolent new fifty,MN all new five,MN all new fifteen,MN all new twentyFive,MN all new fifty,MN revocation new five,MN revocation new fifteen,MN revocation new twentyFive,MN revocation new fifty,MN drug length five,MN drug length fifteen,MN drug length twentyFive,MN drug length fifty,MN property length five,MN property length fifteen,MN property length twentyFive,MN property length fifty,MN violent length five,MN violent length fifteen,MN violent length twentyFive,MN violent length fifty,MN nonviolent length five,MN nonviolent length fifteen,MN nonviolent length twentyFive,MN nonviolent length fifty,MN all length five,MN all length fifteen,MN all length twentyFive,MN all length fifty,MN revocation length five,MN revocation length fifteen,MN revocation length twentyFive,MN revocation length fifty
Jun-00,5974.99974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,6041.99982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,7039.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,6608.99976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,7727.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,7233.99929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,8401.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,7879.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,8833.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,8570.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,9180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,8983.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,9248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,9073.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,9280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,9334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,9388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,9273.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,9657.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,9642.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,9385.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,9470.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,9399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,9209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209
Jun-13,,9325,9323,9319,9315,9304,9323,9320,9316,9306,9322,9315,9309,9292,9319,9305,9292,9258,9315,9295,9275,9225,9322,9315,9307,9289,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687,9325.40687
Dec-13,,9383,9378,9368,9357,9331,9379,9370,9360,9338,9374,9357,9339,9296,9367,9334,9301,9219,9358,9308,9257,9131,9375,9359,9343,9303,9380.991486,9376.542687,9372.043761,9360.571499,9381.210947,9377.204758,9373.15343,9362.822541,9379.974861,9373.475725,9366.903359,9350.143826,9376.351599,9362.545045,9348.582923,9312.979514,9373.129111,9352.82342,9332.288934,9279.925992,9379.616237,9372.393826,9365.090035,9346.465369
Jun-14,,9424,9415,9398,9380,9336,9417,9402,9387,9349,9408,9377,9345,9267,9396,9341,9285,9146,9381,9294,9207,8989,9411,9386,9360,9296,9418.67273,9407.87611,9396.914025,9368.756001,9419.423798,9410.153044,9400.749336,9376.636741,9415.453431,9398.126094,9380.507283,9335.129654,9407.339831,9373.620631,9339.386231,9251.456488,9398.782959,9347.736423,9295.883211,9162.575839,9415.950058,9399.666002,9383.159709,9340.887577
Dec-14,,9456,9444,9419,9394,9331,9446,9425,9404,9351,9432,9385,9337,9217,9416,9336,9256,9057,9392,9265,9137,8818,9439,9403,9368,9279,9447.385705,9429.314689,9410.919469,9363.443875,9448.798001,9433.604966,9418.161204,9378.405016,9440.870949,9409.515773,9377.484549,9294.274898,9428.212996,9371.288426,9313.344428,9163.807237,9412.781208,9324.501461,9234.526239,9001.779397,9443.453469,9417.474614,9391.114313,9323.481365
Jun-15,,9483,9467,9434,9401,9319,9470,9443,9415,9347,9450,9384,9318,9153,9431,9325,9220,8957,9398,9226,9055,8627,9461,9415,9370,9257,9470.624804,9444.823807,9418.516853,9350.416228,9472.77765,9451.374592,9429.593225,9373.404885,9459.809887,9411.850817,9362.648957,9233.804646,9442.965846,9361.050603,9277.537519,9061.39182,9419.434835,9289.560521,9156.845577,8811.855568,9465.598035,9429.716006,9393.294831,9299.794998
Dec-15,,9506,9486,9446,9405,9303,9490,9456,9423,9339,9463,9378,9292,9077,9441,9309,9178,8850,9398,9181,8963,8420,9479,9424,9368,9230,9489.813937,9456.079412,9421.649762,9332.363129,9492.744612,9465.00698,9436.762309,9363.82426,9473.782682,9407.057308,9338.33039,9156.975242,9453.278911,9345.37543,9235.268952,8949.83526,9420.633441,9246.004587,9067.17119,8600.382351,9483.739613,9437.851795,9391.269373,9271.662966
Jun-16,,9526,9502,9454,9405,9284,9506,9467,9427,9328,9473,9366,9259,8991,9447,9290,9132,8738,9394,9129,8864,8202,9494,9428,9363,9200,9505.749889,9464.01521,9421.398409,9310.779543,9509.46799,9475.349172,9440.597767,9350.819874,9483.682893,9396.354521,9306.073608,9066.112823,9460.08727,9325.624955,9188.356678,8832.241543,9417.474017,9195.68333,8968.13414,8372.05822,9498.621596,9442.647788,9385.824561,9239.915464
Dec-16,,9543,9515,9459,9403,9262,9520,9474,9428,9313,9479,9349,9220,8897,9451,9267,9083,8622,9387,9073,8759,7975,9506,9430,9355,9166,9518.999788,9469.271735,9418.481435,9286.602543,9523.49688,9482.984958,9441.718886,9335.101977,9490.178578,9380.690226,9267.115198,8963.19837,9464.032379,9302.668948,9137.912258,8710.391711,9410.733994,9139.882211,8861.550493,8130.113118,9510.776453,9444.636004,9377.490145,9205.066822
Jun-17,,9558,9526,9462,9399,9239,9532,9480,9428,9297,9482,9330,9177,8796,9453,9242,9030,8503,9377,9013,8649,7740,9516,9430,9344,9130,9530.022195,9472.345876,9413.435676,9260.47559,9535.27896,9488.377244,9440.603517,9317.18357,9493.82702,9360.86818,9222.521511,8850.022612,9465.612684,9277.12602,9084.678731,8585.356688,9401.029101,9079.583597,8748.789638,7876.968696,9520.642391,9444.250418,9366.695001,9167.529692
Dec-17,,9571,9536,9464,9392,9213,9542,9484,9425,9279,9483,9307,9130,8689,9452,9214,8976,8381,9364,8950,8535,7498,9523,9427,9331,9091,9539.203571,9473.643224,9406.685846,9232.869498,9545.194545,9491.912698,9437.644065,9297.467514,9495.106692,9337.584244,9173.226397,8728.215859,9465.235761,9249.464899,9029.185274,8457.807189,9388.868435,9015.575124,8630.937653,7614.549029,9528.594427,9441.861854,9353.80534,9127.656969
Jun-18,,9583,9543,9464,9385,9187,9551,9486,9421,9259,9482,9281,9080,8578,9450,9185,8920,8257,9350,8884,8417,7252,9530,9423,9317,9051,9546.872039,9473.500636,9398.576839,9204.144341,9553.568615,9493.918791,9433.169971,9276.285481,9494.428722,9311.440091,9120.04509,8599.251427,9463.240719,9220.054252,8971.827428,8328.187618,9374.678673,8948.503574,8508.88175,7344.448277,9534.954405,9437.788547,9339.13557,9085.752805
Dec-18,,9593,9550,9463,9376,9160,9558,9487,9416,9238,9480,9254,9028,8463,9447,9155,8862,8131,9334,8815,8297,7001,9535,9418,9301,9008,9553.305396,9472.19909,9389.39195,9174.5839,9560.677659,9494.672859,9427.459055,9253.914702,9492.144191,9282.952588,9063.684065,8464.447388,9459.910974,9189.190555,8912.911673,8196.81111,9358.818374,8878.906352,8383.358947,7068.021707,9539.99674,9432.301746,9322.953616,9042.076093
Jun-19,,9602,9555,9461,9367,9132,9564,9486,9409,9216,9477,9225,8974,8345,9443,9123,8803,8004,9317,8746,8174,6746,9539,9411,9284,8965,9558.737709,9469.972929,9379.36498,9144.416146,9566.755514,9494.408916,9420.745277,9230.588104,9488.550912,9252.562738,9004.750951,8324.970844,9455.483441,9157.11547,8852.681745,8063.912182,9341.588601,8807.232457,8254.986945,6786.437275,9543.953721,9425.630887,9305.485932,8996.845269
Dec-19,,9611,9560,9458,9357,9103,9569,9486,9402,9193,9472,9195,8918,8225,9437,9090,8743,7875,9299,8674,8050,6489,9542,9403,9265,8919,9563.365306,9467.017276,9368.689169,9113.826188,9571.998891,9493.323585,9413.225034,9206.500973,9483.90007,9220.644529,8943.764703,8181.844478,9450.155914,9124.027548,8791.334864,7929.674547,9323.241633,8733.857727,8124.285217,6500.704675,9547.020788,9417.968801,9286.922619,8950.243054
Jun-20,,9619,9564,9455,9346,9074,9574,9484,9394,9170,9467,9164,8861,8103,9431,9056,8681,7744,9280,8601,7923,6228,9544,9395,9246,8873,9567.35222,9463.494243,9357.524175,9082.965023,9576.572534,9491.581424,9405.062613,9181.816632,9478.402519,9187.513386,8881.165608,8035.954627,9444.093232,9090.090601,8729.032272,7794.246234,9303.988359,8659.096596,7991.690489,6211.69347,9549.361579,9409.476721,9267.422404,8902.421484
