date,AL actual,AL noPolicy,AL drug new five,AL drug new fifteen,AL drug new twentyFive,AL drug new fifty,AL property new five,AL property new fifteen,AL property new twentyFive,AL property new fifty,AL violent new five,AL violent new fifteen,AL violent new twentyFive,AL violent new fifty,AL nonviolent new five,AL nonviolent new fifteen,AL nonviolent new twentyFive,AL nonviolent new fifty,AL all new five,AL all new fifteen,AL all new twentyFive,AL all new fifty,AL revocation new five,AL revocation new fifteen,AL revocation new twentyFive,AL revocation new fifty,AL drug length five,AL drug length fifteen,AL drug length twentyFive,AL drug length fifty,AL property length five,AL property length fifteen,AL property length twentyFive,AL property length fifty,AL violent length five,AL violent length fifteen,AL violent length twentyFive,AL violent length fifty,AL nonviolent length five,AL nonviolent length fifteen,AL nonviolent length twentyFive,AL nonviolent length fifty,AL all length five,AL all length fifteen,AL all length twentyFive,AL all length fifty,AL revocation length five,AL revocation length fifteen,AL revocation length twentyFive,AL revocation length fifty
Jun-00,21132.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,21558.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,23443.9993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,22537.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,24551.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,24027.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,23214.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,23591.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,24559.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,23881.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
