date,ALL_STATES actual,ALL_STATES noPolicy,ALL_STATES drug new five,ALL_STATES drug new fifteen,ALL_STATES drug new twentyFive,ALL_STATES drug new fifty,ALL_STATES property new five,ALL_STATES property new fifteen,ALL_STATES property new twentyFive,ALL_STATES property new fifty,ALL_STATES violent new five,ALL_STATES violent new fifteen,ALL_STATES violent new twentyFive,ALL_STATES violent new fifty,ALL_STATES nonviolent new five,ALL_STATES nonviolent new fifteen,ALL_STATES nonviolent new twentyFive,ALL_STATES nonviolent new fifty,ALL_STATES all new five,ALL_STATES all new fifteen,ALL_STATES all new twentyFive,ALL_STATES all new fifty,ALL_STATES revocation new five,ALL_STATES revocation new fifteen,ALL_STATES revocation new twentyFive,ALL_STATES revocation new fifty,ALL_STATES drug length five,ALL_STATES drug length fifteen,ALL_STATES drug length twentyFive,ALL_STATES drug length fifty,ALL_STATES property length five,ALL_STATES property length fifteen,ALL_STATES property length twentyFive,ALL_STATES property length fifty,ALL_STATES violent length five,ALL_STATES violent length fifteen,ALL_STATES violent length twentyFive,ALL_STATES violent length fifty,ALL_STATES nonviolent length five,ALL_STATES nonviolent length fifteen,ALL_STATES nonviolent length twentyFive,ALL_STATES nonviolent length fifty,ALL_STATES all length five,ALL_STATES all length fifteen,ALL_STATES all length twentyFive,ALL_STATES all length fifty,ALL_STATES revocation length five,ALL_STATES revocation length fifteen,ALL_STATES revocation length twentyFive,ALL_STATES revocation length fifty
Jun-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,520832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,515610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,522139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
Dec-07,520323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,515388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,514823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,507546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
