date,NY actual,NY noPolicy,NY drug new five,NY drug new fifteen,NY drug new twentyFive,NY drug new fifty,NY property new five,NY property new fifteen,NY property new twentyFive,NY property new fifty,NY violent new five,NY violent new fifteen,NY violent new twentyFive,NY violent new fifty,NY nonviolent new five,NY nonviolent new fifteen,NY nonviolent new twentyFive,NY nonviolent new fifty,NY all new five,NY all new fifteen,NY all new twentyFive,NY all new fifty,NY revocation new five,NY revocation new fifteen,NY revocation new twentyFive,NY revocation new fifty,NY drug length five,NY drug length fifteen,NY drug length twentyFive,NY drug length fifty,NY property length five,NY property length fifteen,NY property length twentyFive,NY property length fifty,NY violent length five,NY violent length fifteen,NY violent length twentyFive,NY violent length fifty,NY nonviolent length five,NY nonviolent length fifteen,NY nonviolent length twentyFive,NY nonviolent length fifty,NY all length five,NY all length fifteen,NY all length twentyFive,NY all length fifty,NY revocation length five,NY revocation length fifteen,NY revocation length twentyFive,NY revocation length fifty
Jun-00,70092.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,69431.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,66161.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,66611.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,65038.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,65969.0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,63783.9966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,64430.9984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,62111.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,62917.0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,62456.9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,61945.9947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,62623.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,62387.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,61221.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,61690.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,58868.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,59435.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,56501.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,57730.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,55308.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,55702.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,54328.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,54491.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,53327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327,53327
Jun-13,,52500,52492,52477,52461,52422,52492,52476,52460,52420,52490,52469,52448,52396,52479,52438,52396,52291,52469,52406,52344,52187,52486,52458,52430,52359,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295,52500.23295
